Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PV070762.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV070763.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV070764.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV070765.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV070766.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV070767.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV070768.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV070769.1,Influenza A virus,GenBank,GCA_047521255.1,SRR31885891,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070074,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-001-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV070770.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV070771.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV070772.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV070773.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV070774.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV070775.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV070776.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV070777.1,Influenza A virus,GenBank,GCA_047521655.1,SRR31885883,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-010-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Lynx,oronasopharynx,2024,SAMN46070081,PRJNA1102327,"Influenza A virus (A/Lynx/WA/24-037410-010-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV070778.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV070779.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV070780.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV070781.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV070782.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV070783.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV070784.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV070785.1,Influenza A virus,GenBank,GCA_047521635.1,SRR31885885,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-007-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070079,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-007-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV070786.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV070787.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV070788.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV070789.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV070790.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV070791.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV070792.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV070793.1,Influenza A virus,GenBank,GCA_047521285.1,SRR31885884,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-008-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Puma concolor,lung,2024,SAMN46070080,PRJNA1102327,"Influenza A virus (A/Mountain Lion/WA/24-037410-008-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV070882.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV070883.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV070884.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV070885.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV070886.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV070887.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV070888.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV070889.1,Influenza A virus,GenBank,,SRR31885882,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-011-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,,oronasopharynx,2024,SAMN46070082,PRJNA1102327,"Influenza A virus (A/Savannah Cat/WA/24-037410-011-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV070890.1,Influenza A virus,GenBank,GCA_047521585.1,SRR31885890,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-06,24-037410-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024,SAMN46070075,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-037410-002-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
